,Elephant & Castle,Lambeth North,Waterloo,Embankment,Charing Cross,Piccadilly Circus,Oxford Circus,Regent's Park,Baker Street,Marylebone,Edgware Road (B),Paddington (BDC),Warwick Avenue,Maida Vale,Kilburn Park,Queen's Park,Kensal Green,Willesden Junction,Harlesden,Stonebridge Park,Wembley Central,North Wembley,South Kenton,Kenton,Harrow & Wealdstone,Epping,Theydon Bois,Debden,Loughton,Buckhurst Hill,Grange Hill,Chigwell,Roding Valley,Woodford,South Woodford,Snaresbrook,Hainault,Fairlop,Barkingside,Newbury Park,Gants Hill,Redbridge,Wanstead,Leytonstone,Leyton,Stratford,Mile End,Bethnal Green,Liverpool Street,Bank,St. Paul's,Chancery Lane,Holborn,Tottenham Court Road,Bond Street,Marble Arch,Lancaster Gate,Queensway,Notting Hill Gate,Holland Park,Shepherd's Bush,White City,East Acton,North Acton,West Acton,Ealing Broadway,Hanger Lane,Perivale,Greenford,Northolt,South Ruislip,Ruislip Gardens,West Ruislip,Hammersmith (HC),Goldhawk Road,Shepherd's Bush Market,Wood Lane,Latimer Road,Ladbroke Grove,Westbourne Park,Royal Oak,Paddington (HC),Edgware Road (C),Great Portland Street,Euston Square,King's Cross St. Pancras,Farringdon,Barbican,Moorgate,Aldgate,Tower Hill,Aldgate East,Bayswater,High Street Kensington,Gloucester Road,South Kensington,Sloane Square,Victoria,St. James's Park,Westminster,Temple,Blackfriars,Mansion House,Cannon Street,Monument,Upminster,Upminster Bridge,Hornchurch,Elm Park,Dagenham East,Dagenham Heathway,Becontree,Upney,Barking,East Ham,Upton Park,Plaistow,West Ham,Bromley-By-Bow,Bow Road,Stepney Green,Whitechapel,Earl's Court,West Brompton,Fulham Broadway,Parsons Green,Putney Bridge,East Putney,Southfields,Wimbledon Park,Wimbledon,West Kensington,Barons Court,Hammersmith (PD),Ravenscourt Park,Stamford Brook,Turnham Green,Gunnersbury,Kew Gardens,Richmond,Chiswick Park,Acton Town,Ealing Common,Stanmore,Canons Park,Queensbury,Kingsbury,Wembley Park,Neasden,Dollis Hill,Willesden Green,Kilburn,West Hampstead,Finchley Road,Swiss Cottage,St. John's Wood,Green Park,Southwark,London Bridge,Bermondsey,Canada Water,Canary Wharf,North Greenwich,Canning Town,Preston Road,Northwick Park,Harrow-on-the-Hill,West Harrow,Rayners Lane,Eastcote,Ruislip Manor,Ruislip,Ickenham,Hillingdon,Uxbridge,North Harrow,Pinner,Northwood Hills,Northwood,Moor Park,Croxley,Watford,Rickmansworth,Chorleywood,Chalfont & Latimer,Chesham,Amersham,Morden,South Wimbledon,Colliers Wood,Tooting Broadway,Tooting Bec,Balham,Clapham South,Clapham Common,Clapham North,Stockwell,Oval,Kennington,Borough,Old Street,Angel,Leicester Square,Goodge Street,Warren Street,Euston,Mornington Crescent,Camden Town,Kentish Town,Tufnell Park,Archway,Highgate,East Finchley,Finchley Central,Mill Hill East,West Finchley,Woodside Park,Totteridge & Whetstone,High Barnet,Chalk Farm,Belsize Park,Hampstead,Golders Green,Brent Cross,Hendon Central,Colindale,Burnt Oak,Edgware,Cockfosters,Oakwood,Southgate,Arnos Grove,Bounds Green,Wood Green,Turnpike Lane,Manor House,Finsbury Park,Arsenal,Holloway Road,Caledonian Road,Russell Square,Covent Garden,Hyde Park Corner,Knightsbridge,South Ealing,Northfields,Boston Manor,Osterley,Hounslow East,Hounslow Central,Hounslow West,Hatton Cross,Heathrow Terminal 4,Heathrow Terminals 1 2 & 3,North Ealing,Park Royal,Alperton,Sudbury Town,Sudbury Hill,South Harrow,Brixton,Vauxhall,Pimlico,Highbury & Islington,Seven Sisters,Tottenham Hale,Blackhorse Road,Walthamstow Central,Kensington (Olympia)
Elephant & Castle,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lambeth North,2.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waterloo,,2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Embankment,,,1.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charing Cross,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piccadilly Circus,,,,,3,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford Circus,,,,,,2.4,,2.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regent's Park,,,,,,,2.23,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baker Street,,,,,,,,2.5,,4.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marylebone,,,,,,,,,4.72,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
